Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Mount Apo forest mouse,,The Mount Apo forest mouse (Apomys hylocetes ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Soricomys kalinga,Kalinga shrew mouse,"The Kalinga shrew mouse (Soricomys kalinga ) is a rodent of the genus Soricomys found in the northern province of Kalinga, island of Luzon, in the northern Philippines.",Animalia,Chordata,,Mammalia,,Muridae,Soricomys,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
,,,,,,,Chiroptera,,,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Philippine forest roundleaf bat,,The Philippine forest roundleaf bat (Hipposideros obscurus ) is a species of bat in the family Hipposideridae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Hipposideridae,Hipposideros,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Rhynchomys mingan,Mingan shrew rat,The Mingan shrew rat (Rhynchomys mingan ) is a species of shrewlike rat in the subfamily Murinae. It was discovered at elevations above 1450 m on Mt. Mingan of the central Sierra Madre of Luzon in the Philippines and described in 2019.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Rhynchomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Mindanao lowland forest mouse,,The Mindanao lowland forest mouse (Apomys littoralis ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Chiroptera,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Large rufous horseshoe bat,,The large rufous horseshoe bat (Rhinolophus rufus ) is a species of bat in the family Rhinolophidae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Rhinolophidae,Rhinolophus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Mindanao shrew-rat,,The Mindanao shrew-rat (Crunomys melanius ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Crunomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Palawan pencil-tailed tree mouse,,"The Palawan pencil-tailed tree mouse (Chiropodomys calamianensis ) is a species of arboreal rodent in the family Muridae. It is known from lowland forest near sea level, coconut groves, and bamboo thickets. It is endemic to the Palawan Faunal Region in the Philippines. It has been recorded on Balabac, Busuanga, Palawan, Dumaran, and Calauit islands.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Chiropodomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Mindanao montane forest mouse,,The Mindanao montane forest mouse (Apomys insignis ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,
,,,,,,,Rodentia,,,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Luzon hairy-tailed rat,Luzon forest rat,"The Luzon forest rat or Luzon hairy-tailed rat (Batomys granti ) is one of five species of rodent in the genus Batomys. It is in the diverse family Muridae.This species is found only in the Philippines. This species was the first of the five to be identified and stayed the sole indicator for the genus for roughly 75 years, until 1988. Majority of this species lives on Mount Data which is one of several mountains in the Cordillera Mountains region of Northern Luzon.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Batomys,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Northern Luzon shrew-rat,,The Northern Luzon shrew-rat (Crunomys fallax ) is a species of rodent in the family Muridae.It is found only in the Philippines.Its natural habitat is subtropical or tropical dry forest.It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Chiroptera,Muridae,Crunomys,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Philippine pygmy roundleaf bat,Philippine pygmy leaf-nosed bat,"The Philippine pygmy roundleaf bat (Hipposideros pygmaeus ), also called the Philippine pygmy leaf-nosed bat, is a species of bat in the family Hipposideridae. It is endemic to the Philippines, where it has been recorded on Bohol, Luzon (Camarines Sur and Rizal provinces), Marinduque, Negros, Panay, and Mindanao (in Surigao del Sur).",Animalia,Chordata,,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Large Mindanao roundleaf bat,,The large Mindanao roundleaf bat (Hipposideros coronatus ) is a species of bat in the family Hipposideridae endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Hipposideridae,Hipposideros,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Tapulao shrew-rat,,The Tapulao shrew-rat (Rhynchomys tapulao ) is a rodent in the subfamily Murinae. It was described in 2007.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Rhynchomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Small Luzon forest mouse,,The small Luzon forest mouse (Apomys microdon ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,Near Threatened (NT)
Sibuyan striped shrew-rat,Sibuyan striped shrew rat,"Sibuyan striped shrew rat (Chrotomys sibuyanensis ) is a species of rodent in the family Muridae. The holotype was collected in 1992; however, it wasn't formally described until 2005.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Chrotomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Katanglad shrew-mouse,Kitanglad shrew-mouse,"The Katanglad shrew-mouse (Crunomys suncoides ), also known as the Kitanglad shrew-mouse is a species of rodent in the family Muridae. It is known only from one specimen taken at 2250 m on Mount Kitanglad, Bukidnon Province, Philippines.",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Crunomys,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Sibuyan shrew,,The Sibuyan shrew (Crocidura ninoyi ) is a species of shrew from the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,,
Banahaw tree mouse,,"Banahaw tree mouse (Musseromys gulantang ) is a species of rodent in the family of Muridae. It is named after Mount Banahaw in Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Musseromys,,,,,,,,,,,,,,,,,,,,,
Sierra Madre shrew mouse,,The Sierra Madre shrew mouse (Soricomys musseri ) is a species of mammal from the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Soricomys,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
Sierra Madre forest mouse,,"The Sierra Madre forest mouse (Apomys sierrae ) is a forest mouse endemic to the Sierra Madre Range of eastern Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Luzon Aurora forest mouse,,"The Luzon Aurora forest mouse (Apomys aurorae ) is a forest mouse endemic to Aurora in Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
Luzon giant forest mouse,,"The Luzon giant forest mouse (Apomys magnus ) is a forest mouse endemic to Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Mount Mingan forest mouse,,"The Mount Mingan forest mouse (Apomys minganensis ) is a forest mouse endemic to Mount Mingan in Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Luzon Zambales forest mouse,,"The Luzon Zambales forest mouse (Apomys zambalensis ) is a forest mouse endemic to Zambales in Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
Mount Banahaw forest mouse,,The Mount Banahaw forest mouse (Apomys banahao ) is a forest mouse endemic to the Mount Banahaw area in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,
Lubang forest mouse,,The Lubang forest mouse (Apomys lubangensis ) is a forest mouse endemic to Lubang Island in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,
Mount Irid forest mouse,,"The Mount Irid forest mouse (Apomys iridensis ) is a forest mouse endemic to Mount Irid in Luzon, Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,
Mount Tapulao forest mouse,,The Mount Tapulao forest mouse (Apomys brownorum ) is a forest mouse endemic to the Mount Tapulao area in the Philippines. It is named after the American zoologist Barbara Elaine Russell Brown.,Animalia,Chordata,,Mammalia,Octopoda,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,,
Grimpoteuthis meangensis,,"Grimpoteuthis meangensis is known from either one or two specimens, though the second may be of a completely different species. The first was damaged. Both were found by William Evans Hoyle within one year of each other, and no other animals of the species have been identified since 1886.",Animalia,Mollusca,,Cephalopoda,Arcida,Opisthoteuthidae,Grimpoteuthis,,,,,,,,,,,,,,,,,,,,,
Tucetona saggiecoheni,,"Tucetona saggiecoheni is a species of a marine bivalvia mollusc in the family Glycymerididae. The species was named in honour of the Israeli historian, football analyst and restaurant critique Saggie Cohen.",Animalia,Mollusca,,Bivalvia,,Glycymerididae,Tucetona,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sepiida,,,,,,,,,,,,,,,,,,,,,,,
Sepiadarium gracilis,,"Sepiadarium gracilis is a species of cuttlefish native to the Indo-Pacific; it occurs in the South China Sea and off the western Philippines.
The type specimen was collected in Philippine waters and is deposited at the National Museum of Natural History in Washington, D.C.
SHOW LESS",Animalia,Mollusca,,Cephalopoda,Trochida,Sepiadariidae,Sepiadarium,,,,,,,,,,,,,,,,,,,,,
Stomatella duplicata,,"Stomatella duplicata is a species of sea snail, a marine gastropod mollusk in the family Trochidae, the top snails.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Trochidae,Stomatella,,,,,,,,,,,,,,,,,,,,,
Conus alabaster,,"Conus alabaster is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.
Like all species within the genus Conus, these snails are predatory and venomous. They are capable of ""stinging"" humans, therefore live ones should be handled carefully or not at all.",Animalia,Mollusca,,Gastropoda,Trochida,Conidae,Conus,,,,,,,,,,,,,,,,,,,,,
Angaria vicdani,,"Angaria vicdani is a species of sea snail, a marine gastropod mollusc of the family Angariidae.",Animalia,Mollusca,,Gastropoda,Anomalodesmata,Angariidae,Angaria,,,,,,,,,,,,,,,,,,,,,
Cuspidaria tomricei,,Cuspidaria tomricei is a species of marine bivalve mollusc in the family Cuspidariidae.,Animalia,Mollusca,,Bivalvia,Sepiolida,Cuspidariidae,Cuspidaria,,,,,,,,,,,,,,,,,,,,,
Euprymna albatrossae,,"Euprymna albatrossae is a species of bobtail squid native to the western Pacific Ocean off the Philippines and Japan. The depth range of E. albatrossae is unknown. The type specimens were collected using a nightlight.
E. albatrossae grows to 24 mm (0.94 in) in mantle length.
The type specimen was collected off the Philippines and is deposited at the National Museum of Natural History in Washington, D.C.
SHOW LESS",Animalia,Mollusca,,Cephalopoda,Neogastropoda,Sepiolidae,Euprymna,,,,,,,,,,,,,,,,,,,,,
Conus barbieri,,"Conus barbieri is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.
Like all species within the genus Conus, these snails are predatory and venomous. They are capable of ""stinging"" humans, therefore live ones should be handled carefully or not at all.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Conidae,Conus,,,,,,,,,,,,,,,,,,,,,
Conus richardsae,,"Conus richardsae is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.
Like all species within the genus Conus, these snails are predatory and venomous. They are capable of ""stinging"" humans, therefore live ones should be handled carefully or not at all.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Conidae,Conus,,,,,,,,,,,,,,New Caledonia,,,,,,,
Eucyclotoma cymatodes,,"Eucyclotoma cymatodes is a species of sea snail, a marine gastropod mollusk in the family Raphitomidae.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Raphitomidae,Eucyclotoma,,,,,,,,,,,,,,,,,,,,,
Mitromorpha albosideralis,,"Mitromorpha albosideralis is a species of sea snail, a marine gastropod mollusk in the family Mitromorphidae.",Animalia,Mollusca,,Gastropoda,Trochida,Mitromorphidae,Mitromorpha,,,,,,,,,,,,,,,,,,,,,
Minolia ceraunia,,"Minolia ceraunia is a species of minute sea snail, a marine gastropod mollusk in the family Solariellidae.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Solariellidae,Minolia,,,,,,,,,,,,,,New Caledonia,,,,,,,
Conus glorioceanus,,"Conus glorioceanus is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.
Like all species within the genus Conus, these snails are predatory and venomous. They are capable of ""stinging"" humans, therefore live ones should be handled carefully or not at all.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Conidae,Conus,,,,,,,,,,,,,,,,,,,,,
Conus robini,,"Conus robini is a species of sea snail, a marine gastropod mollusc in the family Conidae, the cone snails, cone shells or cones.
These snails are predatory and venomous. They are capable of ""stinging"" humans.
The epithet of this species was named after Alain Robin.
SHOW LESS",Animalia,Mollusca,,Gastropoda,Neogastropoda,Conidae,Conus,,,,,,,,,,,,,,,,,,,,,
Tritonoturris difficilis,,"Tritonoturris difficilis is a species of sea snail, a marine gastropod mollusc in the family Raphitomidae.",Animalia,Mollusca,,Gastropoda,Littorinimorpha,Raphitomidae,Tritonoturris,,,,,,,,,,,,,,,,,,,,,
Terestrombus fragilis,Fragile conch,"Terestrombus fragilis, common name : the Fragile Conch, is a species of sea snail, a marine gastropod mollusk in the family Strombidae, the true conchs.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Strombidae,Terestrombus,,,,,,,,,,,,,,,,,,,,,
Bathytoma tippetti,,"Bathytoma tippetti is a species of sea snail, a marine gastropod mollusk in the family Borsoniidae.",Animalia,Mollusca,,Gastropoda,Nudibranchia,Borsoniidae,Bathytoma,,,,,,,,,,,,,,,,,,,,,
Chromodoris michaeli,,"Chromodoris michaeli is a species of colourful sea slug, a dorid nudibranch, a marine gastropod mollusk in the family Chromodorididae.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Chromodorididae,Chromodoris,,,,,,,,,,,,,,,,,,,,,
Conasprella pseudokimioi,,"Conasprella pseudokimioi is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.
Like all species within the genus Conasprella, these snails are predatory and venomous. They are capable of ""stinging"" humans, therefore live ones should be handled carefully or not at all.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Conidae,Conus,,,,,,,,,,,,,,,,,,,,,
Conus terryni,,"Conus terryni is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.
Like all species within the genus Conus, these snails are predatory and venomous. They are capable of ""stinging"" humans, therefore live ones should be handled carefully or not at all.",Animalia,Mollusca,,Gastropoda,Neogastropoda,Conidae,Conus,,,,,,,,,,,,,,,,,,,,,
